data,description,source,link,Image_link,similar_images
2020-02-06T07:18:25-08:00,"On the surface, President Donald Trump can claim popular vindication after Wednesday’s impeachment vote. Senators voted 52-48 to acquit him on charges that he abused power, and 53-47 to acquit him on obstruction of Congress charges. The reality, though, is that the only reason a majority of the Senate voted to keep Trump in office is that the body is configured in a way that",vox,https://www.vox.com/2020/2/6/21125403/senate-trump-acquitted-not-democratic-18-million-53-percent-malapportionment,https://cdn.vox-cdn.com/thumbor/wEbii6fP3PELGjoCJrIkgyl2WpA=/0x0:3876x2029/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19700002/GettyImages_1198810024.jpg,"[11, 19, 3]"
2021-11-11T08:29:57-08:00,"The Kyle Rittenhouse trial continued today in Wisconsin. In a move that surprised lawyers everywhere, Rittenhouse took the stand in his own defense. That is unusual in criminal cases, and it's especially unusual in murder trials. And the reason is simple: the stakes are too high. One wrong answer in a cross-examination, and you could wind up spending life in prison. ",foxnews,https://www.foxnews.com/opinion/tucker-carlson-kyle-rittenhouse-testified-already-won-case,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/79be122c-e4aa-49fd-94d5-8e7e25ba17a1/f7b4e68b-1df6-4486-86a6-340cbff666bc/1280x720/match/image.jpg,"[12, 198, 213]"
2020-01-15T18:32:32-08:00,WASHINGTON (AP) — A House committee chairman said his panel will investigate what he says are “profoundly alarming” text messages that have raised questions about the possible surveillance of former Ambassador to Ukraine Marie Yovanovitch before she was ousted by the Trump administration last spring.,apnews,https://apnews.com/708b81d4c77038eb0b751c30f72ff315,https://storage.googleapis.com/afs-prod/media/e6de7952eef64d65b75b25b360a35067/3000.jpeg,"[13, 230, 211]"
2019-12-26T06:09:01-08:00,"The House of Representatives could file a second set of articles of impeachment against President Donald Trump if new evidence of obstruction is obtained from former White House counsel Don McGahn, lawyers for the House Judiciary Committee said Monday.",businessinsider,https://www.businessinsider.com/trump-may-be-impeached-second-time-new-obstruction-evidence-emerges-2019-12,https://i.insider.com/5e01e4cd855cc23d8d790832?width=1200&amp;format=jpeg,"[14, 95, 198]"
2019-08-28T18:28:56-07:00,"Brazilian President Jair Bolsonaro said Tuesday that he will accept the offer of international aid to help fight the fires raging across the Amazon rainforest, but that French President Emmanuel Macron must first apologize to him. Bolsonaro appeared offended by Macron's comments related to his handling of the unfolding crisis in the Amazon, and wanted them retracted. &quot;And then",nbcnews,https://www.nbcnews.com/news/world/brazilian-president-demands-apology-accepting-20m-help-fight-amazon-fires-n1046716,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2019_35/2986501/190827-emmanuel-macron-jair-bolsonaro-cs-1014a.jpg","[15, 95, 230]"
2018-08-30T06:41:43-07:00,It was just one month ago when President Donald Trump called Google “one of our great companies.”,bigthink,https://bigthink.com/stephen-johnson/google-doesnt-have-a-political-bias-it-has-a-technology-bias,"https://bigthink.com/wp-content/uploads/2018/08/origin-26.jpg?resize=1200,630","[16, 127, 230]"
2019-01-31T16:14:11-08:00,"PRESIDENT TRUMP’S temper tantrum over Congress’s refusal to fund a border wall paralyzed much of the government for five weeks, sapped the morale and wallets of hundreds of thousands of federal workers and low-wage contractors, left millions of Americans disgusted and dismayed, and diminished the United States in the eyes of the world. The impasse was proof of the president’s",washingtonpost,https://www.washingtonpost.com/opinions/the-shutdown-was-proof-of-trumps-stark-incapacity-for-leadership/2019/01/25/deef71e0-20e2-11e9-8b59-0a28f2191131_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/MTKPD3RA5YI6TDRBLGQJ74PCUE.jpg&amp;w=1440,"[17, 230, 3]"
2022-05-12T01:54:56-07:00,"Attorney General William Barr has told people close to him that he has considered resigning over his growing frustration with President Trump and the president's public statements about the Justice Department and its ongoing cases, an administration official tells NPR. It is unclear whether the attorney general ever informed the president he was considering quitting, and for",npr,https://www.npr.org/2020/02/19/807353165/barr-has-considered-resigning-over-trumps-remarks,https://media.npr.org/assets/img/2020/02/19/ap_20041820370858_wide-f60687983293c250ce4514fb9bc04580420f2ba9-s1400-c100.jpg,"[18, 95, 230]"
2019-06-21T07:56:26-07:00,"President Trump on Friday said he had called off a retaliatory military strike on Iran just 10 minutes before its planned start after learning 150 people would be killed, saying such an action would have been disproportionate to Iran’s downing of an unmanned U.S. surveillance drone. “We were cocked &amp; loaded to retaliate last night on 3 different sights when I asked, how many",wsj,https://www.wsj.com/articles/trump-says-he-s-in-no-hurry-to-confront-iran-11561122762?mod=hp_lead_pos1,https://s.wsj.net/img/meta/wsj-social-share.png,"[19, 30, 3]"
2022-06-09T05:53:11-07:00,"A group of House Republicans on Wednesday requested confirmation that the former president of ABC News, James Goldston, is working for the committee investigating the Jan. 6, 2021 breach of the U.S. Capitol, and questioned whether his alleged hiring violated House rules.",theepochtimes,https://www.theepochtimes.com/jan-6-committees-alleged-hiring-of-former-abc-news-president-may-violate-rules-house-gop_4521993.html?utm_source=partner&amp;utm_campaign=allsides,https://img.theepochtimes.com/assets/uploads/2021/01/29/President-at-ABC-News-James-Goldston-1200x765.jpg,"[20, 134, 175]"
